datetime,NASA,NOAA,MET,CandW,BE
1851-06-30,,,13.883852777777776,,13.681571428571427
1852-06-29,,,14.038436111111109,,13.763416666666663
1853-06-30,,,14.028352777777778,,13.774833333333332
1854-06-30,,,13.986852777777779,,13.749583333333334
1855-06-30,,,14.00668611111111,,13.803916666666666
1856-06-29,,,13.983352777777776,,13.834249999999999
1857-06-30,,,13.89793611111111,,13.701749999999999
1858-06-30,,,13.794936111111108,,13.5775
1859-06-30,,,13.79126944444444,,13.724249999999998
1860-06-29,,,13.973602777777778,,13.780166666666666
1861-06-30,,,13.913352777777776,,13.703083333333332
1862-06-30,,,13.85368611111111,,13.608916666666664
1863-06-30,,,13.738352777777777,,13.526083333333334
1864-06-29,,,13.98018611111111,,13.760083333333332
1865-06-30,,,13.764019444444441,,13.73475
1866-06-30,,,13.977686111111106,,13.834833333333334
1867-06-30,,,14.008019444444445,,13.888833333333336
1868-06-29,,,13.939602777777777,,13.902999999999999
1869-06-30,,,14.021519444444444,,13.91508333333333
1870-06-30,,,13.995352777777775,,13.899916666666668
1871-06-30,,,13.983352777777776,,13.823333333333332
1872-06-29,,,13.92618611111111,,13.801666666666664
1873-06-30,,,14.03143611111111,,13.830916666666665
1874-06-30,,,13.95543611111111,,13.870333333333333
1875-06-30,,,13.891102777777776,,13.801666666666668
1876-06-29,,,13.863769444444443,,13.761333333333333
1877-06-30,,,13.87643611111111,,13.760916666666667
1878-06-30,,,14.184519444444442,,14.148416666666668
1879-06-30,,,14.29718611111111,,14.247416666666666
1880-06-29,,,14.029352777777774,,13.902500000000002
1881-06-30,14.035441666666662,14.01246416666666,14.03268611111111,,13.838999999999999
1882-06-30,14.120441666666657,14.047464166666659,14.059519444444446,,13.93758333333333
1883-06-30,14.093774999999992,14.03746416666666,14.045269444444443,,13.884166666666665
1884-06-29,14.026274999999993,13.95246416666666,13.964686111111108,,13.832916666666668
1885-06-30,13.916274999999994,13.865797499999994,13.851102777777777,,13.670666666666667
1886-06-30,13.877941666666658,13.882464166666658,13.87043611111111,,13.697916666666666
1887-06-30,13.896274999999994,13.893297499999994,13.890519444444442,,13.664416666666668
1888-06-29,13.847941666666657,13.851630833333326,13.83993611111111,,13.64133333333333
1889-06-30,14.036274999999991,14.004130833333328,13.951852777777773,,13.834166666666667
1890-06-30,14.10044166666666,14.048297499999995,14.085769444444445,,13.967833333333331
1891-06-30,13.85044166666666,13.789964166666659,13.841102777777776,,13.679916666666665
1892-06-29,13.979608333333326,13.87746416666666,13.926852777777777,,13.786749999999998
1893-06-30,13.930441666666658,13.826630833333326,13.803352777777777,,13.746583333333332
1894-06-30,13.887941666666661,13.803297499999994,13.78643611111111,,13.758000000000001
1895-06-30,13.901274999999993,13.823297499999994,13.85118611111111,,13.766583333333331
1896-06-29,13.980441666666659,13.891630833333325,13.869352777777777,,13.828916666666666
1897-06-30,14.092941666666656,14.040797499999991,14.07368611111111,,13.92825
1898-06-30,14.094608333333325,14.038297499999993,14.052436111111112,,13.945750000000002
1899-06-30,13.937108333333326,13.864130833333327,13.848102777777775,,13.745
1900-06-30,14.027941666666658,13.97996416666666,13.971019444444442,,13.914416666666668
1901-06-30,14.124608333333326,14.061630833333325,14.057102777777777,,14.023083333333332
1902-06-30,14.046274999999993,13.980797499999992,14.001269444444445,,13.952083333333333
1903-06-30,13.92044166666666,13.879130833333326,13.858019444444443,,13.8105
1904-06-29,13.828774999999993,13.755797499999993,13.780102777777776,,13.710583333333332
1905-06-30,13.728774999999994,13.676630833333327,13.740186111111107,,13.668749999999998
1906-06-30,13.937108333333326,13.856630833333327,13.882852777777773,,13.827833333333333
1907-06-30,13.973774999999995,13.92496416666666,13.977352777777776,,13.901916666666665
1908-06-29,13.810441666666657,13.752464166666657,13.79435277777778,,13.726249999999999
1909-06-30,13.768774999999993,13.703297499999993,13.747352777777776,,13.71108333333333
1910-06-30,13.712941666666657,13.690797499999993,13.736769444444443,,13.650583333333332
